seed,fold,algo,accuracy,macro_recall
0,83972,plsda,0.125,0.03125
0,83972,logreg,0.25,0.0625
0,83972,xgb,0.0,0.0
0,ATCC25922,plsda,0.5555555555555556,0.1388888888888889
0,ATCC25922,logreg,0.8888888888888888,0.2222222222222222
0,ATCC25922,xgb,0.6666666666666666,0.16666666666666666
0,Dublin,plsda,0.0,0.0
0,Dublin,logreg,0.1111111111111111,0.027777777777777776
0,Dublin,xgb,0.0,0.0
0,H2O,plsda,0.0,0.0
0,H2O,logreg,0.0,0.0
0,H2O,xgb,0.0,0.0
0,Heidelburg,plsda,0.2222222222222222,0.05555555555555555
0,Heidelburg,logreg,0.3333333333333333,0.08333333333333333
0,Heidelburg,xgb,0.5555555555555556,0.1388888888888889
0,K-12,plsda,0.0,0.0
0,K-12,logreg,0.0,0.0
0,K-12,xgb,0.25,0.0625
0,O103H2,plsda,0.4444444444444444,0.1111111111111111
0,O103H2,logreg,0.5555555555555556,0.1388888888888889
0,O103H2,xgb,0.5555555555555556,0.1388888888888889
0,O121H19,plsda,0.8888888888888888,0.2222222222222222
0,O121H19,logreg,0.8888888888888888,0.2222222222222222
0,O121H19,xgb,0.1111111111111111,0.027777777777777776
0,O157H7,plsda,0.3333333333333333,0.08333333333333333
0,O157H7,logreg,0.5555555555555556,0.1388888888888889
0,O157H7,xgb,0.0,0.0
0,Typhimurium,plsda,0.6666666666666666,0.16666666666666666
0,Typhimurium,logreg,0.7777777777777778,0.19444444444444445
0,Typhimurium,xgb,0.3333333333333333,0.08333333333333333
